cluster_id,source_id
4,5673500722542380032
4,6306731180037439488
4,4974082340821399040
1,4586789402982945920
3,4833022386319666944
0,2968872710018455552
4,6899889601253565952
2,5624233702452446080
0,1321225574833669888
4,5432212346075631744
1,6880845853704492288
0,4692184601887720064
1,6605658365513645568
1,5276961098076236416
4,4141208497599638528
4,3667003155604459264
1,1673419180936604544
4,4497652442003170432
1,3686574118981624704
1,5210813894428892800
0,2666151805700710016
1,3590557685538475904
4,2768912059353550976
4,6164830687554436224
4,4467412401893509120
1,4449652265451668608
1,4661850175616806912
3,6039426782211377792
4,6036398452312554752
2,4838835843596550912
4,6600246569282461056
4,596764819353882240
3,6782907126038666112
2,6630340408695537024
1,1302413652437260032
3,1119052393239210240
3,4655315537486322432
1,193509068623935360
1,4893397772392106624
0,3909111217995285632
4,6794526116383695104
4,1227163214069445376
0,3853395321682352896
2,4939214284482094336
2,2985295535384501120
4,4597743837328472448
4,1297038380607003520
1,2156079634203374976
1,4142003654961434112
1,4462064858374716800
3,6241953388066673664
2,1324326369422624768
3,6249357121409873664
1,6817138290265720192
2,1421943657435786752
1,1261426775234344704
3,4500235744563965440
0,6336207235648232064
1,2087165337755767168
1,4453371191733432960
4,6817929045284491392
0,4221572562684671104
2,6450732843538175360
2,3720454538999202816
1,2770193127839236608
4,389981694745020160
3,4035779871041589376
4,6405616690290984448
3,6819055877199512448
0,6124026024341764480
4,2123719598248719232
1,215023899838855808
0,5502651836950773248
0,2439137735857547136
4,1196740929923013504
2,6702224073741862784
1,4138986801216178304
4,4411061503260808192
4,6611229586636510592
0,1351539797605749888
4,4671991452368261248
4,1349781644153642880
3,1079976643341083136
4,4139597064530859776
0,1370988680832592384
2,4504858641229324928
3,4485592551785066496
0,5917976548868901888
1,6143646740621817984
4,1328034094438742784
0,4618532230657229312
0,3261205643227245312
1,935860523256256000
3,5947605088712886400
3,3267942316610619392
2,4113119415811066624
0,1225561088188891520
3,2689487531251108224
1,6697283521317347968
1,6649401542276350720
2,1154146330496211072
2,4912061569956562816
4,4737894285255385344
0,4464843564775787776
0,4717712135148269952
4,506019444662038784
1,1669293710229976448
0,4655099208591539072
4,6439678662869525760
4,6041655698444693248
3,4745495453953382272
1,2038481642955700096
0,3886467909891695744
4,6390328427782832384
4,2447834632315747840
4,4589462693706218752
0,3470251837646710912
0,6633502672855962880
0,5531941143091719168
4,4419970674178715264
4,1360404605811200256
1,919068030059047552
4,6268285385882777088
4,4618936752153333504
3,4013682332938343552
1,1176009466379404160
2,3738434852648389248
3,4788970624751799936
3,6399839993637822080
1,4577611195312565248
0,6397000745376897792
0,2106573642129237888
1,4645919042376680576
4,4361623917124344064
4,3635944529100331904
4,6437551696285718784
4,6639474154865526912
0,6372984422129735680
1,5086392952473479168
2,6838410546023826176
0,1325138393119622016
4,1931818260441266176
4,392068396015738624
2,3493538360051618688
4,2110032087233687296
0,6721726622580075392
4,3836244795714924544
4,6467541288246829952
4,1328059829882683904
1,1254918048650546176
2,6365348210796806656
1,6365664526547908736
2,4082691496638932096
4,5264552937554001536
0,2306224956360990336
4,1304216301750639744
4,6143894817932393472
4,1316055155763739136
3,1566624200646487296
1,3237161660390914688
1,4608324987477444864
4,5679541473785494912
2,5362905420894300416
4,6711991825802598144
2,6701074706128816384
4,2708562271286208512
0,6487755534644631296
0,4385280773087454720
2,4574337639954727424
1,3466170519204455168
1,2521317777538071680
3,1165995939108003200
3,2713083703617911424
1,1206648766637987712
4,5886956989439559168
1,5803700899479792000
4,3541561007864375296
0,4421477692304774272
4,3636892308123372800
0,4161582074436026624
1,5068411191417269888
2,5759100279744934016
2,6135621267811088384
4,6510736908214073984
2,2655134797974344064
2,4383412427952617600
3,785823404211725824
4,6522965195502867456
0,4642157372579797504
3,4682394790872553600
4,4378984900786514688
0,864224218266726912
2,3716203586528115968
4,6763396365235325440
4,6654271519792926592
1,3923776916402485248
4,4203335032122456448
2,1288251633434606720
4,6437260497502512000
2,4768817160729604736
4,1758843847072153600
3,5656960288090942336
0,2105847208541125248
4,6170693897733224064
0,4720255442982427520
1,1727417399568281088
4,1155813293203263232
4,74909903294708992
2,6692155399085831552
4,4541079749676237568
0,6464144518870900224
1,2795689496816562816
2,6579469613449084416
4,4379442813019444096
0,3511571381539051904
4,2892879693284897536
3,2416730960194154496
4,3645571784193502720
3,5372484366194486144
2,3521836692677861504
3,6638313998302434816
3,1870432354473515264
4,3666961442882150400
0,4180692578626961920
0,1890506653647184768
4,1650515666535421056
0,4033821327214259584
4,3634084258505200128
0,6771325901343837056
1,4823952446183216640
2,2243340072441991552
2,2553788932886885504
1,5495127672723665408
0,4192784599490726400
4,6739575686324098432
1,2133142069303828224
3,1676206374193854464
3,6471075427855732352
2,2113939614118240256
1,5069966523629329792
0,3537725258471316864
3,6348158342926780032
2,6730732692264859776
1,2384892195829745792
2,598844992274598784
3,1040103988031280384
0,3550821472750305536
3,4739889181602009856
0,2551851421599992832
1,3896603276796958464
2,6278585679527771136
0,4880906804904496896
0,1554375744194343040
3,5876368898620338304
4,6367217758520815872
2,4603394261944100864
1,2825607586166248960
3,2847675471730362752
0,2978078959534821760
1,2548966646687403264
1,6814314061506585728
3,3139315021126408320
4,2138317195657623040
4,5841715693683313152
1,1723632605667276672
1,3911441083133708544
4,3618689991909517696
0,4956345603356257792
4,3529869316609435648
0,4853489348594043136
4,6350725668218125184
4,6565754545922565120
1,6083704424726722048
3,5738976193299851136
3,2890455712525612160
3,6211647480351575040
2,1369972663369441664
3,4660770317756652032
4,3535397317477639808
4,4652324213008320896
1,554611914369139456
0,4970893654020144128
4,6420907873378168960
3,3570871445239056256
1,3819151027740513408
3,2418428674867186048
0,5998244814720315008
4,6426503356770232192
1,720330994101136512
0,6713477162931087744
3,5226053366113550720
2,6630695138637791488
3,2112729292334785792
3,6701531067880609536
2,3742101345970116224
2,6336384149645649920
1,6548024611685628544
4,5276211918338712192
0,3906117419630876928
1,4498580326732767872
4,4375750687334926592
3,4085761470554533248
0,1191268282594647552
1,2086886817718093312
4,1748439512136644992
3,1931495485058995456
0,3651065597121243648
0,3708093245164288896
0,3468680910408727040
0,2114822075278937088
4,6140937750127696384
4,1401921310175534720
4,6499464611926796160
3,5088018374255371520
4,4551738690275789568
2,4864887229725044224
4,4472183114132418560
2,6328182209514624896
2,3491206983084057344
0,1593339481343411968
2,2547143725127991168
4,6253554438333300352
4,4406544365895723008
4,2779656727497903232
4,5336397707415876864
2,6776727840627902592
4,1868633072413049600
3,4697566951825032576
3,1402718318666923264
1,6293687471734476032
4,6281324631711864192
3,2347866347923073152
4,3523626701903600128
2,3816415447105486080
4,5917176104423910784
0,5700281802146142336
4,4546110633847903488
3,1556616205293094144
4,4324531140745786880
1,4506679844834808832
2,1809989245360577152
4,5918376564942504576
4,1457566116189303296
0,6553804022758229632
1,6455727138886009472
2,5508804841460443648
2,1478737246943563264
4,4574622860141961216
3,3432634555564825728
1,2332915291888057856
4,4764715089004888704
3,4214500572626047744
2,6762203085876772736
1,6896934972990416256
2,2712018445041024
2,2542670602588008192
2,4843161292276893440
4,3608970725732387072
4,6778793032702952704
1,6902607868874632192
4,5834453350704847360
1,6710723229901993600
3,2077722353940049408
1,4584070413805412864
1,6799847855742808064
3,5570210298128259328
4,6691012280653411840
4,4546303903079995136
0,2597752183768561664
0,2831916171569631872
0,5794682224070642944
4,5033334541404052736
4,3908071389232915712
0,3562299893107152512
4,4643948408302666496
2,6339630973121996032
4,6647536255160094208
3,2654902392998833280
4,3942643470782971776
1,4532023862684422272
4,1733142517958312832
1,3194327195634304512
0,5461205849223635328
4,6367533077840623488
3,6851522943744307968
